Author,Reference,Extractor_1,duplicate,preDM_def,combined_def,n_def,subgroup,mort_report,cardiomort_report,CVD_report,CHD_report,stroke_report,HF_report,CKD_report,cohort_name,country,year_pub,years_study,mean_followup,multivar_adjust,var_adjust,n_participants,n_females,mean_age_1,mean_age_F,mean_age_M,FSG_unit,mean_FSG,mean_FSG_F,mean_FSG_M,percent_HBA1C,percent_HBA1C_F,percent_HBA1C_M,percent_CVD,percent_CVD_M,percent_CVD_F,mean_GFR,mean_GFR_F,mean_GFR_M,outcome_type,n_mort,n_mort_F,n_mort_M,HR_mort_F,LCI_mort_F,UCI_mort_F,HR_mort_M,LCI_mort_M,UCI_mort_M,n_cardiomort,n_cardiomort_F,HR_cardiomort_F,LCI_cardiomort_F,UCI_cardiomort_F,HR_cardiomort_M,LCI_cardiomort_M,UCI_cardiomort_M,n_stroke,n_stroke_F,HR_stroke_F,LCI_stroke_F,UCI_stroke_F,HR_stroke_M,LCI_stroke_M,UCI_stroke_M,n_iscstroke,n_iscstroke_F,HR_iscstroke_F,LCI_iscstroke_F,UCI_iscstroke_F,HR_iscstroke_M,LCI_iscstroke_M,UCI_iscstroke_M,n_hemstroke,n_hemstroke_F,HR_hemstroke_F,LCI_hemstroke_F,UCI_hemstroke_F,HR_hemstroke_M,LCI_hemstroke_M,UCI_hemstroke_M,CVD_def,n_CVD,n_CVD_F,HR_CVD_F,LCI_CVD_F,UCI_CVD_F,HR_CVD_M,LCI_CVD_M,UCI_CVD_M,CHD_def,n_CHD,n_CHD_F,HR_CHD_F,LCI_CHD_F,UCI_CHD_F,HR_CHD_M,LCI_CHD_M,UCI_CHD_M,CKD_def,n_CKD,n_CKD_F,HR_CKD_F,LCI_CKD_F,UCI_CKD_F,HR_CKD_M,LCI_CKD_M,UCI_CKD_M,n_HF,n_HF_F,HR_HF_F,LCI_HF_F,UCI_HF_F,HR_HF_M,LCI_HF_M,UCI_HF_M
"Sinha et al., 2023",https://doi.org/10.1016/j.cardfail.2022.10.426,James,23,0,NA,0,Black,0,0,1,0,0,1,0,Lifetime Risk Pooling Project,USA,2023,NA,19.74464267,1,"Adjusted for age, education, body mass index, hypertension, hyperlipidemia, and smoking.",19170,10621,49.55299948,49.53629602,49.57375132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.52,4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fatal and nonfatal MI was adjudicated using standardized clinical criteria that consisted of at least 2 of the following: electrocardiographic changes consistent with MI, biomarker elevations consistent with myocardial damage, and/or typical chest pain or International Classification of Diseases (ICD) codes (ICD-9 codes 410414 or equivalent).2",NA,NA,1.29,0.96,1.73,1.17,0.88,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.13,2.27,1.23,0.85,1.78
"Liu et al., 2019",https://onlinelibrary.wiley.com/doi/10.1002/dmrr.3129,James,24,0,NA,0,5.6-7.0 mmol/L,1,1,0,0,0,0,0,Rural Chinese Cohort Study,China,2019,2007-2014,6,1,"age, mean individual income (monthly), marital status, education level, smoking, drinking, physical activity, BMI, TC, TG, HDL‐C, and LDL‐C levels",17248,10439,51.65578618,50.3257017,53.69496255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,292,134,,1,0.8,1.24,1.14,0.94,1.39,135,58,0.88,0.64,1.23,1.34,1,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tran et al., 2022",,James,25,5,ADA FPG + ADA HbA1c,1,Death without Disability,1,0,0,0,0,0,0,NIPPON DATA90,Japan,2022,1990-2012,22,1,". Model 1: adjusted for age, sex, smoking status and drinking status. Model 2: adjustments in model 1 plus cardiovascular risk factors (hypertension, hypertriglyceridemia and low high-density lipoprotein, hypercholesterolemia). Model 3: adjustments in model 1 plus body mass index. Model 4 was adjusted for all variables.",1788,1022,57.51521253,57.35107632,57.63707572,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,131,51,,1.61,1.05,2.49,1.49,0.99,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyvarinen et al., 2009",,James,26,1,NA,1,6.1-6.9 mmol/L,0,0,0,0,1,0,0,"Finland, East-West, FINRISK-1987, FINRISK-1992, FINRISK-2002, Helsinki Policemen Study, Vantaa, [Italy, Cremona], [The Netherlands, Hoorn Study], Zuthpen Study, [Sweden, MONICA], Uppsala, [U.K., Goodinge], Newcastle",Finland,2009,NA,10.5,1,". The analysis is adjusted for age, study, BMI, total cholesterol, smoking, and hypertension status.",21706,9862,56.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,10,2.04,0.99,4.21,1.05,0.74,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyvarinen et al., 2009",,James,26,2,NA,1,7.8-11.0 mmol/L,0,0,0,0,1,0,0,"Finland, East-West, FINRISK-1987, FINRISK-1992, FINRISK-2002, Helsinki Policemen Study, Vantaa, [Italy, Cremona], [The Netherlands, Hoorn Study], Zuthpen Study, [Sweden, MONICA], Uppsala, [U.K., Goodinge], Newcastle",Finland,2009,NA,10.5,1,". The analysis is adjusted for age, study, BMI, total cholesterol, smoking, and hypertension status.",21706,9862,56.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,9,0.9,0.43,1.9,1.43,0.97,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hsu et al., 2023","""Prediabetes increases the risk of major limb and cardiovascular events""",James,27,5,ADA FPG + OGTT 2hPG + ADA HbA1c,1,PreDM,0,0,1,0,0,0,0,National Taiwan University Hospital,Taiwan,2023,2014-2019,3.866666667,1,"Model 1: Crude; Model 2: Adjust age, sex, BMI, hypertension, hyperlipidemia, HF, gout, CAD, AF, eGFR",36950,20454,64.00512043,NA,NA,0,97.69169689,NA,NA,5.640243572,NA,NA,NA,NA,NA,75.10390257,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Major adverse cardiovascular events (MACE) were defined as a combination of cardiovascular mortality, non-fatal myocardial infarction, and non-fatal ischemic stroke",678,NA,1.33,1.085,1.641,1.27,1.091,1.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asgari et al., 2024",,James,28,0,NA,0,PreDM & Non-Obese,1,1,1,0,0,0,0,"ARIC, Multi-Ethnic Study of Atherosclerosis, Tehran Lipid and Glucose Study",Iran,2024,1987-2005,16.6,1,"Model adjusted for sex (total population), age, non-HDL-C, education levels, hypertension, FH-CVD, and prevalent CVD (except for CVD)",17433,9682,50,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,907,335,,1.17,1.03,1.34,0.96,0.86,1.08,245,86,1.22,0.93,1.59,0.91,0.73,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"For TLGS: history of acute coronary syndrome leading to CCU admission, history of percutaneous coronary intervention (PCI), or coronary artery bypass graft (CABG), angiographic proven coronary artery disease (i.e.,>50% luminal narrowing of one or more coronary artery), or history of stroke events For ARIC and MESA: History of heart failure (HF), myocardial infarction (MI), coronary revascularization, stroke, or transient ischemic Attack",253,189,1.07,0.9,1.27,1.13,1,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asgari et al., 2024",,James,28,0,NA,0,PreDM & Obese,1,1,1,0,0,0,0,"Atherosclerosis Risk in Communities, Multi-Ethnic Study of Atherosclerosis, Tehran Lipid and Glucose Study",Iran,2024,1987-2005,16.6,1,"Model adjusted for sex (total population), age, non-HDL-C, education levels, hypertension, FH-CVD, and prevalent CVD (except for CVD)",17433,9682,50,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,467,115,,1.16,1,1.36,1.2,1.04,1.39,154,89,1.3,0.97,1.75,1.37,1.06,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"For TLGS: history of acute coronary syndrome leading to CCU admission, history of percutaneous coronary intervention (PCI), or coronary artery bypass graft (CABG), angiographic proven coronary artery disease (i.e.,>50% luminal narrowing of one or more coronary artery), or history of stroke events For ARIC and MESA: History of heart failure (HF), myocardial infarction (MI), coronary revascularization, stroke, or transient ischemic Attack",313,134,1.07,0.88,1.31,1.15,0.97,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshida et al., 2022",,James,29,0,NA,1,100-125 mg/dL,0,0,1,1,1,0,0,ARIC,USA,2022,1990-2017,23,1,"Adjusted for age, race/ethnicity, education, body mass index, smoking, blood pressure, cholesterols, menopausal status, uric acids, and antihypertensive or lipid-lowering medications",11262,6409,56.8,56.5,57.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,173,1.06,0.99,1.12,0.96,0.9,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVD outcomes included incident coronary heart disease (CHD) comprising myocardial infarction, CHD death, cardiac procedures, ischemic or hemorrhagic stroke, and a composite atherosclerotic cardiovascular disease (ASCVD), including CHD or stroke.",1286,471,1.07,1,1.14,1,0.93,1.07,NA,1008,333,1.06,1,1.13,0.99,0.93,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshida et al., 2022",,James,29,3,NA,1,5.7%-6.4%,0,0,1,1,1,0,0,ARIC,USA,2022,1990-2017,23,1,"Adjusted for age, race/ethnicity, education, body mass index, smoking, blood pressure, cholesterols, menopausal status, uric acids, and antihypertensive or lipid-lowering medications",11262,6409,56.8,56.5,57.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,127,1.14,1.06,1.22,1.12,1.04,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVD outcomes included incident coronary heart disease (CHD) comprising myocardial infarction, CHD death, cardiac procedures, ischemic or hemorrhagic stroke, and a composite atherosclerotic cardiovascular disease (ASCVD), including CHD or stroke.",839,334,1.15,1.07,1.24,1.09,1,1.18,NA,658,237,1.14,1.06,1.22,1.11,1.02,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshida et al., 2022",,James,29,2,NA,1,7.8-11.0 mmol/L,0,0,1,1,1,0,0,ARIC,USA,2022,1990-2017,23,1,"Adjusted for age, race/ethnicity, education, body mass index, smoking, blood pressure, cholesterols, menopausal status, uric acids, and antihypertensive or lipid-lowering medications",11262,6409,56.8,56.5,57.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,78,1.04,0.96,1.21,1.11,1.01,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVD outcomes included incident coronary heart disease (CHD) comprising myocardial infarction, CHD death, cardiac procedures, ischemic or hemorrhagic stroke, and a composite atherosclerotic cardiovascular disease (ASCVD), including CHD or stroke.",441,221,1.05,0.97,1.13,1.12,1.02,1.24,NA,342,154,1.05,0.97,1.13,1.1,1,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lin et al., 2017",,James,30,5,OGTT 2hPG + WHO FPG,1,PreDM,0,0,0,0,0,0,1,REACTION,China,2017,2011-2012,10,1,"adjusted for age, BMI, physical activity, current smoking status, current drinking status, systolic blood pressure, high-density lipoprotein cholesterol, use of antihypertensive drugs, and a history of cardiovascular disease",250752,164104,57.4,56.81883318,58.46974656,0,6,5.913556038,6.112723894,6,5.80580973,5.805089558,NA,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CKD was defined as eGFR <60 mL/min per 1.73 m,1395,828,1.09,0.98,1.22,1.15,1.02,1.32,NA,NA,NA,NA,NA,NA,NA,NA
"Sasaki et al., 2024",,James,31,5,ADA FPG + OGTT 2hPG,1,PreDM + Normotensive,0,1,1,1,1,1,0,Hiroshima Study,Japan,2024,1982-2014,12.4,1,"age, sex, BMI, smoking habit, drinking habit, hyperlipidemia, hyperuricemia, and renal dysfunction",16564,8487,65.8,NA,NA,0,5.816758633,NA,NA,NA,NA,NA,NA,NA,NA,75.41179667,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.94,1.88,1.19,0.83,1.7,NA,NA,1.08,0.71,1.65,1.35,0.87,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,0.94,1.6,1.25,0.95,1.65,NA,NA,NA,1.15,0.64,2.09,1.26,0.7,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.88,2.28,1.37,0.8,2.33
"Sasaki et al., 2024",,James,31,5,ADA FPG + OGTT 2hPG,1,PreDM + Hypertensive,0,1,1,1,1,1,0,Hiroshima Study,Japan,2024,1982-2014,12.4,1,"age, sex, BMI, smoking habit, drinking habit, hyperlipidemia, hyperuricemia, and renal dysfunction",16564,8487,65.8,NA,NA,0,5.816758633,NA,NA,NA,NA,NA,NA,NA,NA,75.41179667,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0.77,1.41,0.9,0.67,1.2,NA,NA,1.37,0.92,2.02,0.93,0.66,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.73,1.14,1.15,0.91,1.46,NA,NA,NA,1,0.64,1.57,0.93,0.56,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0.57,1.32,0.98,0.65,1.48
"Rentsch et al., 2023",,James,32,4,NA,0,PreDM,0,0,0,1,1,1,0,UK Biobank,UK,2023,2006-2010,11.8,1,"s, adjusted for age at study entry, sociodemographics (i.e., ethnicity, deprivation), lifestyle characteristics (i.e., smoking status, alcohol consumption, physical activity, body mass index, waist-hip ratio, processed meat and fruit and vegetable intake), and clinical characteristics (i.e., total cholesterol, estimated glomerular filtration rate, C-reactive protein, diagnosed hypertension, use of antihypertensive medication or statins, and family history of cardiovascular disease).",427435,273317,57.5,57.9,57.2,NA,NA,NA,NA,5.43,5.46,5.41,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3118,1290,1.14,0.99,1.32,1.04,0.92,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3542,1004,1.12,0.97,1.3,1.15,1.04,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,1247,1.25,1.11,1.41,1.08,0.98,1.19
"Mehrabani-Zeinabad et al., 2023",,James,33,5,ADA FPG + OGTT 2hPG,1,PreDM & Normal Weight/Overweight - OBESITY DEFINED BY BMI,1,0,1,1,1,0,0,Isfahan Cohort Study,Iran,2023,2001-2017,11.25,1,"Values are adjusted for age, SBP, TG, sex, smoking status, history of heart disease, history of high blood pressure and history of diabetes.",5409,2774,50.98153818,NA,NA,1,90.42560362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,428,NA,,0.89,0.57,1.38,1.14,0.76,1.72,NA,NA,NA,NA,NA,NA,NA,NA,428,NA,1.9,0.91,3.94,0.74,0.29,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s fatal and non-fatal MI, fatal and non-fatal stroke, sudden cardiac death and unstable angina, based on modifed criteria of WHO Expert Committe",428,NA,0.83,0.56,1.23,1.05,0.74,1.48,"IHD included the occurrence of fatal and non-fatal MI, sudden cardiac death (SCD) and unstable angina",428,NA,0.65,0.4,1.04,1.11,0.77,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mehrabani-Zeinabad et al., 2023",,James,33,5,ADA FPG + OGTT 2hPG,1,PreDM & Normal Weight/Overweight - OBESITY DEFINED BY WC,1,0,1,1,1,0,0,Isfahan Cohort Study,Iran,2023,2001-2017,11.25,1,"Values are adjusted for age, SBP, TG, sex, smoking status, history of heart disease, history of high blood pressure and history of diabetes.",5409,2774,50.98153818,NA,NA,1,90.42560362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,253,NA,,1.02,0.47,2.22,1.28,0.83,1.98,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,1.38,0.43,6.54,0.37,0.09,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s fatal and non-fatal MI, fatal and non-fatal stroke, sudden cardiac death and unstable angina, based on modifed criteria of WHO Expert Committe",253,NA,0.91,0.42,1.98,1.05,0.72,1.55,"IHD included the occurrence of fatal and non-fatal MI, sudden cardiac death (SCD) and unstable angina",253,NA,0.8,0.31,2.1,1.2,0.81,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mehrabani-Zeinabad et al., 2023",,James,33,5,ADA FPG + OGTT 2hPG,1,PreDM & Obese- OBESITY DEFINED BY BMI,1,0,1,1,1,0,0,Isfahan Cohort Study,Iran,2023,2001-2017,11.25,1,"Values are adjusted for age, SBP, TG, sex, smoking status, history of heart disease, history of high blood pressure and history of diabetes.",5409,2774,50.98153818,NA,NA,1,90.42560362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,NA,,0.81,0.42,1.56,1.09,0.44,2.68,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,1.33,0.5,3.55,0.66,0.09,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s fatal and non-fatal MI, fatal and non-fatal stroke, sudden cardiac death and unstable angina, based on modifed criteria of WHO Expert Committe",200,NA,0.87,0.55,1.38,1.08,0.57,2.05,"IHD included the occurrence of fatal and non-fatal MI, sudden cardiac death (SCD) and unstable angina",200,NA,0.79,0.47,1.33,1.17,0.59,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mehrabani-Zeinabad et al., 2023",,James,33,5,ADA FPG + OGTT 2hPG,1,PreDM & Obese - OBESITY DEFINED BY WC,1,0,1,1,1,0,0,Isfahan Cohort Study,Iran,2023,2001-2017,11.25,1,"Values are adjusted for age, SBP, TG, sex, smoking status, history of heart disease, history of high blood pressure and history of diabetes.",5409,2774,50.98153818,NA,NA,1,90.42560362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,NA,,0.7,0.42,1.18,1.16,0.56,2.38,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,1.5,0.6,3.7,1.84,0.65,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s fatal and non-fatal MI, fatal and non-fatal stroke, sudden cardiac death and unstable angina, based on modifed criteria of WHO Expert Committe",375,NA,0.83,0.54,1.29,1.32,0.8,2.16,"IHD included the occurrence of fatal and non-fatal MI, sudden cardiac death (SCD) and unstable angina",375,NA,0.7,0.42,1.15,1.2,0.68,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tian et al., 2024",,James,34,5,ADA FPG + OGTT 2hPG,1,PreDM,1,1,0,0,0,0,0,China Chronic Disease and Risk Factors Surveillance,China,2024,2013-2014,6,1,"adjusted for age (5-year group), sex (male or female), residence (urban or rural), education (junior high school and below, high school, college and above), household income ( <¥20,000/year, $¥20,000/year, or not answer/did not know), smoking (never smoked, past smoker, or active smoker), alcohol consumption (excessive, rare/occasional, or nondrinker), physical activity ( <150 min/week or $150 min/week), red meat intake ( <100 g/day or $100 g/day), vegetable and fruit intake ( <400 g/day or $400 g/day), BMI ( <18.5, 18.5–23.9, 24–27.9, $28 kg/m2), hypertension (yes or no), dyslipidemia (yes or no), and self-reported CVD (yes or no).",135405,83576,51.83422695,NA,NA,1,5.758530335,NA,NA,5.493136147,NA,NA,2.82,NA,NA,NA,NA,NA,1,2300,971,,1.02,0.93,1.12,1.12,1.03,1.21,995,443,1.03,0.89,1.19,1.15,1.01,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barzilay et al., 2001",,James,35,0,NA,0,IFG,0,0,0,0,1,0,0,The Cardiovascular Health Study,USA,2001,1999,NA,1,age- and race-adjusted.,5712,3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,747,0.82,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barrett-Conner & Ferrara, 1998",,James,36,5,WHO FPG + OGTT 2hPG ,1,IPH,0,0,1,1,0,0,0,The Rancho Bernardo Study,USA,1998,1984-1987,7,1,"s adjustment for age, WHR, triglycerides, HDL cholesterol, hypertension, and current smoking. RH, relative hazards of IPH versus referent group",1858,1089,69.95236814,69.91322314,70.00780234,0,7.324162002,5.314628099,5.504109233,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.4,4.7,0.7,0.3,1.6,NA,NA,NA,2.9,1.3,6.4,0.6,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hadaegh et al., 2009",,James,37,5,WHO FPG + OGTT 2hPG ,1,IFG/IGT,0,0,1,0,0,0,0,TLGS,Iran,2009,1999-2001,7.6,1,"adjusted for age, systolic blood pressure, diastolic blood pressure, total cholesterol, HDL-cholesterol, smoking and hypertension medication.",4025,2273,53.78685714,52.81777387,55.044121,0,5.736255901,5.845556533,5.63841895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVD was defined as any CHD event, stroke (a new neurological deficit that lasted ≥24 h), or cerebrovascular death",61,25,1.07,0.64,1.77,0.99,0.66,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imano et al., 2018",,James,38,2,NA,0,PreDM,0,0,0,0,1,0,0,Circulatory Risk in Communities Study (CIRCS),Japan,2018,1963-2018,14.1,1,"adjusted for age, sex (for total subjects), systolic blood pressure, antihypertensive medication use, atrial fibrillation, serum triglycerides, sex-specific quartiles of body mass index, quartiles of serum high-density lipoprotein-cholesterol, time since the last meal and community",7198,4631,58.39974993,57.85871302,59.37580834,0,6.185162545,5.942928093,6.622165952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17,1.66,0.98,2.82,1.9,1.24,2.9,33,11,2.17,1.12,4.24,1.82,1.09,3.02,15,6,1.24,0.52,2.98,2.03,0.9,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
